sample_id	sample_tissue	sample_project_number	sample_antibody	sample_description									
SRR6061752	root	PRJNA411848	H3K27me3	Z.mays_B73_root_0-5mm_H3K27me3_ChIP_WCE_BR3									
SRR6061753	root	PRJNA411848	H3K27me3	Z.mays_B73_root_0-5mm_H3K27me3_ChIP_WCE_Input									
SRR6077551	root	PRJNA412230	H3K4me3	Z.mays_B73_root_0-5mm_H3K4me3_ChIP_WCE_BR2									
SRR6077552	root	PRJNA412230	H3K4me3	Z.mays_B73_root_0-5mm_H3K4me3_ChIP_WCE_Input									
SRR6077553	root	PRJNA412230	H3K4me3	Z.mays_B73_root_0-5mm_H3K4me3_ChIP_WCE_BR3									
SRR6077554	root	PRJNA412230	H3K4me3	Z.mays_B73_root_0-5mm_H3K4me3_ChIP_WCE_BR1									
SRR6078254	root	PRJNA412244	H3K56ac	Z.mays_B73_root_0-5mm_H3K56ac_ChIP_WCE_BR1									
SRR6078255	root	PRJNA412244	H3K56ac	Z.mays_B73_root_0-5mm_H3K56ac_ChIP_WCE_BR2									
SRR6078256	root	PRJNA412244	H3K56ac	Z.mays_B73_root_0-5mm_H3K56ac_ChIP_WCE_BR3									
SRR6078257	root	PRJNA412244	H3K56ac	Z.mays_B73_root_0-5mm_H3K56ac_ChIP_WCE_Input									
SRR7617893	shoot	PRJNA417726	H3K27ac	14DAY_shoot_H3K27ac_ChIP_seq_treat_rep1									
SRR7617894	shoot	PRJNA417726	H3K27ac	14DAY_shoot_H3K27ac_ChIP_seq_treat_rep2									
SRR7617895	shoot	PRJNA417726	H3K4me3	14DAY_shoot_H3K4me3_ChIP_seq_treat_rep1									
SRR7617896	shoot	PRJNA417726	H3K4me3	14DAY_shoot_H3K4me3_ChIP_seq_treat_rep2									
SRR7617903	ear	PRJNA417726	H3K27ac	Immature_ear_H3K27ac_ChIP_seq_treat_rep1									
SRR7617904	ear	PRJNA417726	H3K27ac	Immature_ear_H3K27ac_ChIP_seq_treat_rep2									
SRR7617905	ear	PRJNA417726	H3K4me3	Immature_ear_H3K4me3_ChIP_seq_treat_rep1									
SRR7617906	ear	PRJNA417726	H3K4me3	Immature_ear_H3K4me3_ChIP_seq_treat_rep2									
SRR6660962	tassel	PRJNA432464	35Spro:GIF1-GFP	5 mm maize tassel_ChIP-seq_R1									
SRR6660960	tassel	PRJNA432464	35Spro:GIF1-GFP	5 mm maize tassel_ChIP-seq_R2									
SRR6660961	tassel	PRJNA432464	35Spro:GIF1-GFP	5 mm maize tassel_ChIP-seq_Input									
SRR6761676	no_label	PRJNA435561	Vector Control										
SRR6761677	no_label	PRJNA435561	Vector Control										
SRR6761678	no_label	PRJNA435561	Vector Control										
SRR6761679	no_label	PRJNA435561	GFP-bZIP60										
SRR6761680	no_label	PRJNA435561	GFP-bZIP60										
SRR6761681	no_label	PRJNA435561	GFP-bZIP60										
SRR6761682	no_label	PRJNA435561	GFP-bZIP91										
SRR6761683	no_label	PRJNA435561	GFP-bZIP91										
SRR6761684	no_label	PRJNA435561	GFP-bZIP91										
SRR6977309	endosperm	PRJNA449500	anti-ZmbZIP22										
SRR6977310	endosperm	PRJNA449500	IgG										
SRR6977311	endosperm	PRJNA449500	anti-ZmbZIP22										
SRR6977312	endosperm	PRJNA449500	IgG										
SRR7041531	meiocyte	PRJNA451000	Input	CML228_InputH3K4me3_M1									
SRR7041532	meiocyte	PRJNA451000	H3K4me3	CML228_H3K4me3_M1									
SRR7041533	anther	PRJNA451000	Input	CML228_InputH3K4me3_A1									
SRR7041534	anther	PRJNA451000	H3K4me3	CML228_H3K4me3_A1									
SRR7041535	seedling	PRJNA451000	Input	CML228_InputH3K4me3_S1									
SRR7041536	seedling	PRJNA451000	H3K4me3	CML228_H3K4me3_S1									
SRR7153132	endosperm	PRJNA471036	Input										
SRR7153133	endosperm	PRJNA471036	Input										
SRR7153134	endosperm	PRJNA471036	o2-antibody										
SRR7153135	endosperm	PRJNA471036	o2-antibody										
SRR7266939	root	PRJNA474205	CENH3	Z.mays_B73_root_0-3mm_CENH3_ChIP_4C_BR1									
SRR7266940	root	PRJNA474205	CENH3	Z.mays_B73_root_0-3mm_CENH3_ChIP_4C_BR3									
SRR7266941	root	PRJNA474205	CENH3	Z.mays_B73_root_0-3mm_CENH3_ChIP_2C_BR3									
SRR7266942	root	PRJNA474205	CENH3	Z.mays_B73_root_0-3mm_CENH3_ChIP_8C_BR3									
SRR7266943	root	PRJNA474205	CENH3	Z.mays_B73_root_0-3mm_CENH3_ChIP_2C_BR2									
SRR7266944	root	PRJNA474205	CENH3	Z.mays_B73_root_0-3mm_CENH3_ChIP_8C_BR1									
SRR7266945	root	PRJNA474205	CENH3	Z.mays_B73_root_0-3mm_CENH3_ChIP_2C_BR1									
SRR7266946	root	PRJNA474205	CENH3	Z.mays_B73_root_0-3mm_CENH3_ChIP_8C_BR2									
SRR7276607	root	PRJNA475120	Input	Z.mays_B73_root_0-3mm_ChIP_Input_2C_BR2									
SRR7276608	root	PRJNA475120	Input	Z.mays_B73_root_0-3mm_ChIP_Input_2C_BR3									
SRR7276609	root	PRJNA475120	Input	Z.mays_B73_root_0-3mm_ChIP_Input_4C_BR2									
SRR7276610	root	PRJNA475120	Input	Z.mays_B73_root_0-3mm_ChIP_Input_2C_BR1									
SRR7276611	root	PRJNA475120	Input	Z.mays_B73_root_0-3mm_ChIP_Input_4C_BR1									
SRR7276612	root	PRJNA475120	Input	Z.mays_B73_root_0-3mm_ChIP_Input_4C_BR3									
SRR7276613	root	PRJNA475120	Input	Z.mays_B73_root_0-3mm_ChIP_Input_8C_BR1									
SRR7276614	root	PRJNA475120	Input	Z.mays_B73_root_0-3mm_ChIP_Input_8C_BR2									
SRR7276615	root	PRJNA475120	Input	Z.mays_B73_root_0-3mm_ChIP_Input_8C_BR3									
SRR7360436	root	PRJNA476661	H3K9me2	Z.mays_B73_root_0-3mm_H3K9me2_ChIP_2C_BR2									
SRR7360437	root	PRJNA476661	H3K9me2	Z.mays_B73_root_0-3mm_H3K9me2_ChIP_4C_BR3									
SRR7360438	root	PRJNA476661	H3K9me2	Z.mays_B73_root_0-3mm_H3K9me2_ChIP_8C_BR2									
SRR7360439	root	PRJNA476661	H3K9me2	Z.mays_B73_root_0-3mm_H3K9me2_ChIP_4C_BR2									
SRR7360440	root	PRJNA476661	H3K9me2	Z.mays_B73_root_0-3mm_H3K9me2_ChIP_2C_BR3									
SRR7360441	root	PRJNA476661	H3K9me2	Z.mays_B73_root_0-3mm_H3K9me2_ChIP_8C_BR3									
SRR7360442	root	PRJNA476661	H3K9me2	Z.mays_B73_root_0-3mm_H3K9me2_ChIP_2C_BR1									
SRR7360443	root	PRJNA476661	H3K9me2	Z.mays_B73_root_0-3mm_H3K9me2_ChIP_8C_BR1									
SRR7360444	root	PRJNA476661	H3K9me2	Z.mays_B73_root_0-3mm_H3K9me2_ChIP_4C_BR1									
SRR7629876	BS cell	PRJNA483800	H3K27me3										
SRR7629877	BS cell	PRJNA483800	H3K27me3										
SRR7629878	M cell	PRJNA483800	H3K27me3										
SRR7629879	M cell	PRJNA483800	H3K27me3										
SRR7629880	BS cell	PRJNA483800	Input										
SRR7629881	BS cell	PRJNA483800	Input										
SRR7629882	M cell	PRJNA483800	Input										
SRR7629883	M cell	PRJNA483800	Input										
SRR7629884	leaf	PRJNA483800	H3K27me3										
SRR7629885	leaf	PRJNA483800	H3K27me3										
SRR7629886	leaf	PRJNA483800	H3K27me3										
SRR7629887	leaf	PRJNA483800	Input										
SRR7629888	leaf	PRJNA483800	Input										
SRR7629889	leaf	PRJNA483800	Input										
SRR7629890	leaf	PRJNA483800	H3K36me3										
SRR7629891	leaf	PRJNA483800	Input										
SRR7629892	root	PRJNA483800	H3K27me3										
SRR7629893	root	PRJNA483800	Input										
SRR7700722	bundle sheath	PRJNA486213	ZmBSH3K4me3	ZmBSH3K4me3									
SRR7741920	shoot	PRJNA487471	H3K4me3	14DAY_shoot_H3K4me3_ChIP_seq_treat_rep1									
SRR7741921	shoot	PRJNA487471	H3K4me3	14DAY_shoot_H3K4me3_ChIP_seq_treat_rep2									
SRR7741922	shoot	PRJNA487471	H3K27ac	14DAY_shoot_H3K27ac_ChIP_seq_treat_rep1									
SRR7741923	shoot	PRJNA487471	H3K27ac	14DAY_shoot_H3K27ac_ChIP_seq_treat_rep2									
SRR7741924	ear	PRJNA487471	H3K4me3	Immature_ear_H3K4me3_ChIP_seq_treat_rep1									
SRR7741925	ear	PRJNA487471	H3K4me3	Immature_ear_H3K4me3_ChIP_seq_treat_rep2									
SRR7741926	ear	PRJNA487471	H3K27ac	Immature_ear_H3K27ac_ChIP_seq_treat_rep1									
SRR7741927	ear	PRJNA487471	H3K27ac	Immature_ear_H3K27ac_ChIP_seq_treat_rep2									
SRR7889760	leaf	PRJNA492464	H2AZ										
SRR7889761	leaf	PRJNA492464	H2AZ										
SRR7889762	leaf	PRJNA492464	H3K27ac										
SRR7889763	leaf	PRJNA492464	H3K27ac										
SRR7889764	leaf	PRJNA492464	H3K27me3										
SRR7889765	leaf	PRJNA492464	H3K27me3										
SRR7889766	leaf	PRJNA492464	H3K36me3										
SRR7889767	leaf	PRJNA492464	H3K36me3										
SRR7889768	leaf	PRJNA492464	H3K4me1										
SRR7889769	leaf	PRJNA492464	H3K4me1										
SRR7889770	leaf	PRJNA492464	H3K4me3										
SRR7889771	leaf	PRJNA492464	H3K4me3										
SRR7889772	leaf	PRJNA492464	H3K56ac										
SRR7889773	leaf	PRJNA492464	H3K56ac										
SRR7889774	leaf	PRJNA492464	H3K9ac										
SRR7889775	leaf	PRJNA492464	H3K9ac										
SRR7889776	leaf	PRJNA492464	H3										
SRR7889777	leaf	PRJNA492464	H3										
SRR7889778	leaf	PRJNA492464	Input										
SRR7889779	leaf	PRJNA492464	Input										
SRR7889780	ear	PRJNA492464	H3K27me3										
SRR7889781	ear	PRJNA492464	H3K27me3										
SRR7889782	ear	PRJNA492464	H3K36me3										
SRR7889783	ear	PRJNA492464	H3K36me3										
SRR7889784	ear	PRJNA492464	H3K4me3										
SRR7889785	ear	PRJNA492464	H3K4me3										
SRR7889786	ear	PRJNA492464	H3K56ac										
SRR7889787	ear	PRJNA492464	H3K56ac										
SRR7889788	ear	PRJNA492464	H3										
SRR7889789	ear	PRJNA492464	Input										
SRR8080929	leaf	PRJNA497463	Input	ChIP16_nAb									
SRR8080930	leaf	PRJNA497463	Input	ChIPCN_nAb									
SRR8080931	leaf	PRJNA497463	R743-antibody	ChIP16_Ab									
SRR8080932	leaf	PRJNA497463	R743-antibody	ChIPCN_Ab									
SRR8163588	Root	PRJNA503971	H3K4me3	H3K4me3-AC7643-WW-IP.rep1									
SRR8362479	leaf	PRJNA511397	CENH3										
SRR8362480	leaf	PRJNA511397	CENH3										
SRR8362481	leaf	PRJNA511397	CENH3										
SRR8502757	bud	PRJNA517683	IgG	maize IgG_rep2									
SRR8502758	bud	PRJNA517683	IgG	maize IgG_rep1									
SRR8502759	bud	PRJNA517683	TB1	maize TB1_ChIP_rep2									
SRR8502760	bud	PRJNA517683	TB1	maize TB1_ChIP_rep1									
SRR11470844	bundle sheath	PRJNA518749	H3K27me3	BS_H3K27me3_rep2									
SRR11470845	bundle sheath	PRJNA518749	H3K27me3	BS_H3K27me3_rep1									
SRR11470846	leaf protoplast	PRJNA518749	H3K27me3	MC_H3K27me3_rep2									
SRR12022262	leaf protoplast	PRJNA518749	bHLH	Zm_input_1									
SRR8524980	leaf protoplast	PRJNA518749	bHLH	bHLH_TF142_rep2									
SRR8524981	leaf protoplast	PRJNA518749	bHLH	bHLH_TF148_rep1									
SRR8524982	leaf protoplast	PRJNA518749	bHLH	bHLH_TF148_rep2									
SRR8524983	leaf protoplast	PRJNA518749	bHLH	bHLH_TF139_rep1									
SRR8524984	leaf protoplast	PRJNA518749	bHLH	bHLH_TF139_rep2									
SRR8524985	leaf protoplast	PRJNA518749	EREB	EREB_TF140_rep1									
SRR8524986	leaf protoplast	PRJNA518749	EREB	EREB_TF140_rep2									
SRR8524987	leaf protoplast	PRJNA518749	WRKY	WRKY_TF111_rep2									
SRR8524988	leaf protoplast	PRJNA518749	bHLH	bHLH_TF149_rep1									
SRR9051242	leaf protoplast	PRJNA518749	GLK	GLK_TF58_rep3									
SRR9051243	leaf protoplast	PRJNA518749	MYB	MYB_TF56_rep4									
SRR9051244	leaf protoplast	PRJNA518749	MYB	MYB_TF56_rep3									
SRR9051245	leaf protoplast	PRJNA518749	GLK	GLK_TF5_rep3									
SRR9051246	leaf protoplast	PRJNA518749	ETS	ETS_TF170_rep3									
SRR9051247	leaf protoplast	PRJNA518749	bZIP	bZIP_TF159_rep3									
SRR9051248	leaf protoplast	PRJNA518749	ZIM	ZIM_TF69_rep3									
SRR9051249	leaf protoplast	PRJNA518749	GLK	GLK_TF58_rep4									
SRR9051250	leaf protoplast	PRJNA518749	HB	HB_TF179_rep3									
SRR12323017	meiocyte	PRJNA518749	Pol2 	MC Pol2 ChIP-seq									
SRR12323018	leaf protoplast	PRJNA518749	H3K9ac	MC H3K9ac ChIP-seq									
SRR12323019	meiocyte	PRJNA518749	H3K36me3	MC H3K36me3 ChIP-seq									
SRR11470847	leaf protoplast	PRJNA518749	H3K27me3	MC_H3K27me3_rep1									
SRR8524989	leaf protoplast	PRJNA518749	bHLH	bHLH_TF149_rep2									
SRR8524990	leaf protoplast	PRJNA518749	WRKY	WRKY_TF66_rep2									
SRR8524991	leaf protoplast	PRJNA518749	WRKY	WRKY_TF66_rep1									
SRR8524992	leaf protoplast	PRJNA518749	ZIM	ZIM_TF59_rep2									
SRR8524993	leaf protoplast	PRJNA518749	ZIM	ZIM_TF59_rep1									
SRR8524994	leaf protoplast	PRJNA518749	GLK	GLK_TF58_rep2									
SRR8524995	leaf protoplast	PRJNA518749	EREB	EREB_TF64_rep2									
SRR8524996	leaf protoplast	PRJNA518749	EREB	EREB_TF64_rep1									
SRR8524997	leaf protoplast	PRJNA518749	GLK	GLK_TF58_rep1									
SRR8524998	leaf protoplast	PRJNA518749	C2C2-COL	C2C2-COL_TF61_rep2									
SRR8524999	leaf protoplast	PRJNA518749	C2C2-COL	C2C2-COL_TF61_rep1									
SRR8525000	leaf protoplast	PRJNA518749	WRKY	WRKY_TF111_rep1									
SRR8525001	leaf protoplast	PRJNA518749	GLK	GLK_TF171_rep2									
SRR8525002	leaf protoplast	PRJNA518749	GLK	GLK_TF171_rep1									
SRR8525003	leaf protoplast	PRJNA518749	GLK	GLK_TF172_rep2									
SRR8525004	leaf protoplast	PRJNA518749	GLK	GLK_TF172_rep1									
SRR8525005	leaf protoplast	PRJNA518749	GLK	GLK_TF173_rep2									
SRR8525006	leaf protoplast	PRJNA518749	GLK	GLK_TF173_rep1									
SRR8525007	leaf protoplast	PRJNA518749	HB	HB_TF174_rep2									
SRR8525008	leaf protoplast	PRJNA518749	HB	HB_TF177_rep2									
SRR8525009	leaf protoplast	PRJNA518749	HB	HB_TF177_rep1									
SRR8525010	leaf protoplast	PRJNA518749	HB	HB_TF174_rep1									
SRR8525011	leaf protoplast	PRJNA518749	EREB	EREB_TF153_rep2									
SRR8525012	leaf protoplast	PRJNA518749	EREB	EREB_TF153_rep1									
SRR8525013	leaf protoplast	PRJNA518749	EREB	EREB_TF152_rep2									
SRR8525014	leaf protoplast	PRJNA518749	EREB	EREB_TF152_rep1									
SRR8525015	leaf protoplast	PRJNA518749	bZIP	bZIP_TF158_rep2									
SRR8525016	leaf protoplast	PRJNA518749	bZIP	bZIP_TF158_rep1									
SRR8525017	leaf protoplast	PRJNA518749	bHLH	bHLH_TF157_rep1									
SRR8525018	leaf protoplast	PRJNA518749	bZIP	bZIP_TF159_rep2									
SRR8525019	leaf protoplast	PRJNA518749	bZIP	bZIP_TF159_rep1									
SRR8525020	leaf protoplast	PRJNA518749	TCP	TCP_TF54_rep1									
SRR8525021	leaf protoplast	PRJNA518749	TCP	TCP_TF54_rep2									
SRR8525022	leaf protoplast	PRJNA518749	MYB	MYB_TF55_rep1									
SRR8525023	leaf protoplast	PRJNA518749	MYB	MYB_TF55_rep2									
SRR8525024	leaf protoplast	PRJNA518749	MYBR	MYBR_TF40_rep1									
SRR8525025	leaf protoplast	PRJNA518749	MYBR	MYBR_TF40_rep2									
SRR8525026	leaf protoplast	PRJNA518749	C2H2	C2H2_TF41_rep1									
SRR8525027	leaf protoplast	PRJNA518749	C2H2	C2H2_TF41_rep2									
SRR8525028	leaf protoplast	PRJNA518749	MYB	MYB_TF56_rep1									
SRR8525029	leaf protoplast	PRJNA518749	MYB	MYB_TF56_rep2									
SRR8525030	leaf protoplast	PRJNA518749	GNAT	GNAT_TF100_rep2									
SRR8525031	leaf protoplast	PRJNA518749	WRKY	WRKY_TF226_rep2									
SRR8525032	leaf protoplast	PRJNA518749	NAC	NAC_TF4_rep2									
SRR8525033	leaf protoplast	PRJNA518749	MYBR	MYBR_TF70_rep1									
SRR8525034	leaf protoplast	PRJNA518749	MYBR	MYBR_TF196_rep1									
SRR8525035	leaf protoplast	PRJNA518749	MYBR	MYBR_TF196_rep2									
SRR8525036	leaf protoplast	PRJNA518749	bHLH	bHLH_TF157_rep2									
SRR8525037	leaf protoplast	PRJNA518749	MYB	MYB_TF195_rep1									
SRR8525038	leaf protoplast	PRJNA518749	MYB	MYB_TF195_rep2									
SRR8525039	leaf protoplast	PRJNA518749	MYBR	MYBR_TF193_rep1									
SRR8525040	leaf protoplast	PRJNA518749	MYBR	MYBR_TF193_rep2									
SRR8525041	leaf protoplast	PRJNA518749	MYB	MYB_TF191_rep1									
SRR8525042	leaf protoplast	PRJNA518749	MYB	MYB_TF191_rep2									
SRR8525043	leaf protoplast	PRJNA518749	EREB	EREB_TF90_rep2									
SRR8525044	leaf protoplast	PRJNA518749	EREB	EREB_TF90_rep1									
SRR8525045	leaf protoplast	PRJNA518749	MYB	MYB_TF198_rep1									
SRR8525046	leaf protoplast	PRJNA518749	MYB	MYB_TF198_rep2									
SRR8525047	leaf protoplast	PRJNA518749	EREB	EREB_TF97_rep2									
SRR8525048	leaf protoplast	PRJNA518749	EREB	EREB_TF106_rep1									
SRR8525049	leaf protoplast	PRJNA518749	TCP	TCP_TF237_rep2									
SRR8525050	leaf protoplast	PRJNA518749	TCP	TCP_TF237_rep1									
SRR8525051	leaf protoplast	PRJNA518749	bZIP	bZIP_TFLG2_rep2									
SRR8525052	leaf protoplast	PRJNA518749	bZIP	bZIP_TFLG2_rep1									
SRR8525053	leaf protoplast	PRJNA518749	C2C2-COL	C2C2-COL_TF2_rep2									
SRR8525054	leaf protoplast	PRJNA518749	C2C2-COL	C2C2-COL_TF2_rep1									
SRR8525055	leaf protoplast	PRJNA518749	C2C2-DOF	C2C2-DOF_TF235_rep2									
SRR8525056	leaf protoplast	PRJNA518749	bHLH	bHLH_TF3_rep1									
SRR8525057	leaf protoplast	PRJNA518749	bHLH	bHLH_TF6_rep2									
SRR8525058	leaf protoplast	PRJNA518749	bHLH	bHLH_TF6_rep1									
SRR8525059	leaf protoplast	PRJNA518749	bZIP	bZIP_TF219_rep2									
SRR8525060	leaf protoplast	PRJNA518749	bZIP	bZIP_TF219_rep1									
SRR8525061	leaf protoplast	PRJNA518749	bZIP	bZIP_TF221_rep2									
SRR8525062	leaf protoplast	PRJNA518749	bZIP	bZIP_TF221_rep1									
SRR8525063	leaf protoplast	PRJNA518749	NAC	NAC_TF199_rep2									
SRR8525064	leaf protoplast	PRJNA518749	NAC	NAC_TF4_rep1									
SRR8525065	leaf protoplast	PRJNA518749	NAC	NAC_TF199_rep1									
SRR8525066	leaf protoplast	PRJNA518749	PRR	PRR_TF202_rep2									
SRR8525067	leaf protoplast	PRJNA518749	PRR	PRR_TF202_rep1									
SRR8525068	leaf protoplast	PRJNA518749	EREB	EREB_TF80_rep1									
SRR8525069	leaf protoplast	PRJNA518749	EREB	EREB_TF80_rep2									
SRR8525070	leaf protoplast	PRJNA518749	MYB	MYB_TF224_rep2									
SRR8525071	leaf protoplast	PRJNA518749	MYB	MYB_TF224_rep1									
SRR8525072	leaf protoplast	PRJNA518749	WRKY	WRKY_TF226_rep1									
SRR8525073	leaf protoplast	PRJNA518749	C2C2-COL	C2C2-COL_TF103_rep1									
SRR8525074	leaf protoplast	PRJNA518749	bHLH	bHLH_TF3_rep2									
SRR8525075	leaf protoplast	PRJNA518749	C2C2-COL	C2C2-COL_TF103_rep2									
SRR8525076	leaf protoplast	PRJNA518749	C2C2-DOF	C2C2-DOF_TF235_rep1									
SRR8525077	leaf protoplast	PRJNA518749	EREB	EREB_TF124_rep1									
SRR8525078	leaf protoplast	PRJNA518749	EREB	EREB_TF124_rep2									
SRR8525079	leaf protoplast	PRJNA518749	GLK	GLK_TF123_rep2									
SRR8525080	leaf protoplast	PRJNA518749	bHLH	bHLH_TF119_rep1									
SRR8525081	leaf protoplast	PRJNA518749	bHLH	bHLH_TF119_rep2									
SRR8525082	leaf protoplast	PRJNA518749	EREB	EREB_TF117_rep1									
SRR8525083	leaf protoplast	PRJNA518749	EREB	EREB_TF117_rep2									
SRR8525084	leaf protoplast	PRJNA518749	WRKY	WRKY_TF115_rep1									
SRR8525085	leaf protoplast	PRJNA518749	WRKY	WRKY_TF115_rep2									
SRR8525086	leaf protoplast	PRJNA518749	EREB	EREB_TF97_rep1									
SRR8525087	leaf protoplast	PRJNA518749	C2C2-COL	C2C2-COL_TF91_rep1									
SRR8525088	leaf protoplast	PRJNA518749	C2C2-COL	C2C2-COL_TF91_rep2									
SRR8525089	leaf protoplast	PRJNA518749	GLK	GLK_TF104_rep1									
SRR8525090	leaf protoplast	PRJNA518749	NAC	NAC_TF15_rep2									
SRR8525091	leaf protoplast	PRJNA518749	NAC	NAC_TF15_rep1									
SRR8525092	leaf protoplast	PRJNA518749	bHLH	bHLH_TF14_rep2									
SRR8525093	leaf protoplast	PRJNA518749	bHLH	bHLH_TF14_rep1									
SRR8525094	leaf protoplast	PRJNA518749	ZIM	ZIM_TF13_rep2									
SRR8525095	leaf protoplast	PRJNA518749	ZIM	ZIM_TF13_rep1									
SRR8525096	leaf protoplast	PRJNA518749	C2C2-COL	C2C2-COL_TF9_rep2									
SRR8525097	leaf protoplast	PRJNA518749	C2C2-COL	C2C2-COL_TF9_rep1									
SRR8525098	leaf protoplast	PRJNA518749	MYBR	MYBR_TF70_rep2									
SRR8525099	leaf protoplast	PRJNA518749	GRAS	GRAS_TF98_rep1									
SRR8525100	leaf protoplast	PRJNA518749	bZIP	bZIP_TF16_rep2									
SRR8525101	leaf protoplast	PRJNA518749	bZIP	bZIP_TF16_rep1									
SRR8525102	leaf protoplast	PRJNA518749	ZIM	ZIM_TF69_rep1									
SRR8525103	leaf protoplast	PRJNA518749	GRAS	GRAS_TF98_rep2									
SRR8525104	leaf protoplast	PRJNA518749	EREB	EREB_TF136_rep2									
SRR8525105	leaf protoplast	PRJNA518749	EREB	EREB_TF136_rep1									
SRR8525106	leaf protoplast	PRJNA518749	ZIM	ZIM_TF69_rep2									
SRR8525107	leaf protoplast	PRJNA518749	HMG	HMG_TF113_rep1									
SRR8525108	leaf protoplast	PRJNA518749	WRKY	WRKY_TF128_rep1									
SRR8525109	leaf protoplast	PRJNA518749	MYB	MYB_TF135_rep2									
SRR8525110	leaf protoplast	PRJNA518749	WRKY	WRKY_TF128_rep2									
SRR8525111	leaf protoplast	PRJNA518749	GLK	GLK_TF123_rep1									
SRR8525112	leaf protoplast	PRJNA518749	MYB	MYB_TF135_rep1									
SRR8525113	leaf protoplast	PRJNA518749	EREB	EREB_TF125_rep2									
SRR8525114	leaf protoplast	PRJNA518749	EREB	EREB_TF125_rep1									
SRR8525115	leaf protoplast	PRJNA518749	ZIM	ZIM_TF127_rep2									
SRR8525116	leaf protoplast	PRJNA518749	ZIM	ZIM_TF127_rep1									
SRR8525117	leaf protoplast	PRJNA518749	ZIM	ZIM_TF79_rep2									
SRR8525118	leaf protoplast	PRJNA518749	EREB	EREB_TF72_rep1									
SRR8525119	leaf protoplast	PRJNA518749	GLK	GLK_TF5_rep1									
SRR8525120	leaf protoplast	PRJNA518749	EREB	EREB_TF72_rep2									
SRR8525121	leaf protoplast	PRJNA518749	ZIM	ZIM_TF79_rep1									
SRR8525122	leaf protoplast	PRJNA518749	GNAT	GNAT_TF100_rep1									
SRR8525123	leaf protoplast	PRJNA518749	MYB	MYB_TF183_rep1									
SRR8525124	leaf protoplast	PRJNA518749	MYB	MYB_TF183_rep2									
SRR8525125	leaf protoplast	PRJNA518749	HB	HB_TF178_rep1									
SRR8525126	leaf protoplast	PRJNA518749	HB	HB_TF178_rep2									
SRR8525127	leaf protoplast	PRJNA518749	HB	HB_TF179_rep1									
SRR8525128	leaf protoplast	PRJNA518749	HB	HB_TF179_rep2									
SRR8525129	leaf protoplast	PRJNA518749	HB	HB_TF180_rep1									
SRR8525130	leaf protoplast	PRJNA518749	HB	HB_TF180_rep2									
SRR8525131	leaf protoplast	PRJNA518749	HB	HB_TF181_rep1									
SRR8525132	leaf protoplast	PRJNA518749	HB	HB_TF181_rep2									
SRR8525133	leaf protoplast	PRJNA518749	HMG	HMG_TF113_rep2									
SRR8525134	leaf protoplast	PRJNA518749	EREB	EREB_TF85_rep2									
SRR8525135	leaf protoplast	PRJNA518749	MYBR	MYBR_TF38_rep2									
SRR8525136	leaf protoplast	PRJNA518749	EREB	EREB_TF85_rep1									
SRR8525137	leaf protoplast	PRJNA518749	MYBR	MYBR_TF38_rep1									
SRR8525138	leaf protoplast	PRJNA518749	GLK	GLK_TF5_rep2									
SRR8525139	leaf protoplast	PRJNA518749	bHLH	bHLH_TF142_rep1									
SRR8525140	leaf protoplast	PRJNA518749	Alfin-like	Alfin-like_TF32_rep2									
SRR8525141	leaf protoplast	PRJNA518749	Alfin-like	Alfin-like_TF32_rep1									
SRR8525142	leaf protoplast	PRJNA518749	MYBR	MYBR_TF34_rep2									
SRR8525143	leaf protoplast	PRJNA518749	Sigma-like	Sigma-like_TF29_rep2									
SRR8525144	leaf protoplast	PRJNA518749	Sigma-like	Sigma-like_TF29_rep1									
SRR8525145	leaf protoplast	PRJNA518749	MYBR	MYBR_TF34_rep1									
SRR8525146	leaf protoplast	PRJNA518749	Alfin-like	Alfin-like_TF30_rep2									
SRR8525147	leaf protoplast	PRJNA518749	Alfin-like	Alfin-like_TF30_rep1									
SRR8525148	leaf protoplast	PRJNA518749	ZIM	ZIM_TF84_rep2									
SRR8525149	leaf protoplast	PRJNA518749	bHLH	bHLH_TF109_rep1									
SRR8525150	leaf protoplast	PRJNA518749	ZIM	ZIM_TF84_rep1									
SRR8525151	leaf protoplast	PRJNA518749	EREB	EREB_TF106_rep2									
SRR8525152	leaf protoplast	PRJNA518749	bHLH	bHLH_TF109_rep2									
SRR8525153	leaf protoplast	PRJNA518749	MYB	MYB_TF189_rep2									
SRR8525154	leaf protoplast	PRJNA518749	MYB	MYB_TF189_rep1									
SRR8525155	leaf protoplast	PRJNA518749	MYB	MYB_TF186_rep2									
SRR8525156	leaf protoplast	PRJNA518749	MYB	MYB_TF186_rep1									
SRR8525157	leaf protoplast	PRJNA518749	MYB	MYB_TF185_rep2									
SRR8525158	leaf protoplast	PRJNA518749	MYB	MYB_TF185_rep1									
SRR8525159	leaf protoplast	PRJNA518749	MYB	MYB_TF184_rep2									
SRR8525160	leaf protoplast	PRJNA518749	MYB	MYB_TF184_rep1									
SRR8525161	leaf protoplast	PRJNA518749	GLK	GLK_TF104_rep2									
SRR8525162	leaf protoplast	PRJNA518749	bHLH	bHLH_TF87_rep2									
SRR8525163	leaf protoplast	PRJNA518749	MYB	MYB_TF190_rep2									
SRR8525164	leaf protoplast	PRJNA518749	MYB	MYB_TF190_rep1									
